12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
7010;SAUDI TELECOM;Equity;0,27;26,43;2 250 954,00;59 489 712,75;59 489 712,75;Communication;B12M7Q5;SA0007879543;Saudi Stock Exchange;Saudi Arabia;USD;SAR;3,75
600519;KWEICHOW MOUTAI LTD A;Equity;0,27;199,96;292 987,00;58 587 059,06;58 587 059,06;Consumer Staples;BP3R2F1;CNE0000018R8;Shanghai Stock Exchange;China;USD;CNY;7,07
2628;CHINA LIFE INSURANCE LTD H;Equity;0,26;2,06;27 942 000,00;57 613 857,89;57 613 857,89;Financials;6718976;CNE1000002L3;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1180;NATIONAL COMMERCIAL BANK;Equity;0,26;10,26;5 514 840,00;56 566 228,85;56 566 228,85;Financials;BSHYYN1;SA13L050IE10;Saudi Stock Exchange;Saudi Arabia;USD;SAR;3,75
2269;WUXI BIOLOGICS (CAYMAN) INCORPRATE;Equity;0,26;16,64;3 391 500,00;56 451 336,11;56 451 336,11;Health Care;BZ3C3R5;KYG970081090;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2412;CHUNGHWA TELECOM LTD;Equity;0,25;3,81;14 014 410,00;53 387 328,66;53 387 328,66;Communication;6287841;TW0002412004;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
NVTK;PAO NOVATEK GDR;Equity;0,25;154,80;344 687,00;53 357 547,60;53 357 547,60;Energy;B0DK750;US6698881090;London Stock Exchange;Russian Federation;USD;USD;1,00
3008;LARGAN PRECISION LTD;Equity;0,24;139,57;375 000,00;52 337 929,41;52 337 929,41;Information Technology;6451668;TW0003008009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
PTT.R;PTT NON-VOTING DR PCL;Equity;0,24;1,20;43 073 500,00;51 795 266,73;51 795 266,73;Energy;6420408;TH0646010R18;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
CPALL.R;CP ALL NON-VOTING DR PCL;Equity;0,23;2,28;22 048 900,00;50 179 887,01;50 179 887,01;Consumer Staples;B08YDH1;TH0737010R15;Stock Exchange Of Thailand;Thailand;USD;THB;30,98
1109;CHINA RESOURCES LAND LTD;Equity;0,23;4,12;12 043 333,00;49 648 970,90;49 648 970,90;Real Estate;6193766;KYG2108Y1052;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
ZTO;ZTO EXPRESS CAYMAN ADR REPRESENTIN;Equity;0,22;34,89;1 385 834,00;48 351 748,26;48 351 748,26;Industrials;BYYDFN0;US98980A1051;New York Stock Exchange Inc.;China;USD;USD;1,00
TCOM;TRIP COM GROUP ADR LTD;Equity;0,22;27,14;1 775 885,00;48 197 518,90;48 197 518,90;Consumer Discretionary;BK1K3N2;US89677Q1076;NASDAQ;China;USD;USD;1,00
FEMSAUBD;FOMENTO ECONOMICO MEXICANO;Equity;0,22;6,56;7 316 600,00;47 963 861,55;47 963 861,55;Consumer Staples;2242059;MXP320321310;Bolsa Mexicana De Valores;Mexico;USD;MXN;22,44
ABEV3;AMBEV SA;Equity;0,22;2,68;17 843 815,00;47 807 571,63;47 807 571,63;Consumer Staples;BG7ZWY7;BRABEVACNOR1;XBSP;Brazil;USD;BRL;5,06
WALMEX*;WALMART DE MEXICO V;Equity;0,22;2,42;19 590 700,00;47 482 288,83;47 482 288,83;Consumer Staples;BW1YVH8;MX01WA000038;Bolsa Mexicana De Valores;Mexico;USD;MXN;22,44
005380;HYUNDAI MOTOR;Equity;0,22;85,98;551 853,00;47 447 072,19;47 447 072,19;Consumer Discretionary;6451055;KR7005380001;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1177;SINO BIOPHARMACEUTICAL LTD;Equity;0,21;1,78;26 140 500,00;46 411 437,27;46 411 437,27;Health Care;B00XSF9;KYG8167W1380;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
035720;KAKAO CORP;Equity;0,21;220,97;208 870,00;46 153 364,35;46 153 364,35;Communication;6194037;KR7035720002;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
2891;CTBC FINANCIAL HOLDING LTD;Equity;0,21;0,68;66 065 772,00;44 989 670,44;44 989 670,44;Financials;6527666;TW0002891009;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
688;CHINA OVERSEAS LAND INVESTMENT LTD;Equity;0,21;3,12;14 424 960,00;44 949 456,65;44 949 456,65;Real Estate;6192150;HK0688002218;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
