12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
036570;NCSOFT CORP;Equity;0,29;684,50;2 012,00;1 377 212,16;1 377 212,16;Communication;6264189;KR7036570000;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1109;CHINA RESOURCES LAND LTD;Equity;0,29;4,12;333 777,00;1 376 004,85;1 376 004,85;Real Estate;6193766;KYG2108Y1052;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
105560;KB FINANCIAL GROUP INC;Equity;0,29;28,78;47 767,00;1 374 918,22;1 374 918,22;Financials;B3DF0Y6;KR7105560007;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
HKD;HKD CASH;Cash;0,29;12,90;10 640 479,00;1 372 947,28;1 372 947,28;Cash and/or Derivatives;--;--;--;Hong Kong;USD;HKD;7,75
035720;KAKAO CORP;Equity;0,28;220,97;6 145,00;1 357 841,83;1 357 841,83;Communication;6194037;KR7035720002;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1303;NAN YA PLASTICS CORP;Equity;0,28;2,20;616 090,00;1 356 257,86;1 356 257,86;Materials;6621580;TW0001303006;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
ZTO;ZTO EXPRESS CAYMAN ADR REPRESENTIN;Equity;0,28;34,89;38 660,00;1 348 847,40;1 348 847,40;Industrials;BYYDFN0;US98980A1051;New York Stock Exchange Inc.;China;USD;USD;1,00
AXISBANK;AXIS BANK LTD;Equity;0,28;5,38;250 492,00;1 347 361,47;1 347 361,47;Financials;BPFJHC7;INE238A01034;National Stock Exchange Of India;India;USD;INR;75,85
207940;SAMSUNG BIOLOGICS LTD;Equity;0,28;668,72;1 995,00;1 334 087,89;1 334 087,89;Health Care;BYNJCV6;KR7207940008;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
1288;AGRICULTURAL BANK OF CHINA LTD H;Equity;0,28;0,40;3 335 000,00;1 325 376,45;1 325 376,45;Financials;B60LZR6;CNE100000Q43;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
