12-Jun-2020;;;;;;;;;;;
iShares Core S&P 500 ETF;;;;;;;;;;;
Inception Date;May 15, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);505.00;;;;;;;;;;
Shares Outstanding;616,550,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
LRCX;LAM RESEARCH CORP;Equity;0,16;284,52;1 095 123,00;311 584 395,96;311 584 395,96;Information Technology;2502247;US5128071082;NASDAQ
ROP;ROPER TECHNOLOGIES INC;Equity;0,16;389,81;782 719,00;305 111 693,39;305 111 693,39;Industrials;2749602;US7766961061;New York Stock Exchange Inc.
WM;WASTE MANAGEMENT INC;Equity;0,16;103,89;2 931 432,00;304 546 470,48;304 546 470,48;Industrials;2937667;US94106L1098;New York Stock Exchange Inc.
AEP;AMERICAN ELECTRIC POWER INC;Equity;0,16;81,80;3 710 071,00;303 483 807,80;303 483 807,80;Utilities;2026242;US0255371017;New York Stock Exchange Inc.
TMUS;T MOBILE US INC;Equity;0,15;102,31;2 862 585,00;292 871 071,35;292 871 071,35;Communication;B94Q9V0;US8725901040;NASDAQ
DD;DUPONT DE NEMOURS INC;Equity;0,15;51,01;5 568 095,00;284 028 525,95;284 028 525,95;Materials;BK0VN47;US26614N1028;New York Stock Exchange Inc.
EMR;EMERSON ELECTRIC;Equity;0,15;61,35;4 590 456,00;281 624 475,60;281 624 475,60;Industrials;2313405;US2910111044;New York Stock Exchange Inc.
EXC;EXELON CORP;Equity;0,15;37,91;7 343 195,00;278 380 522,45;278 380 522,45;Utilities;2670519;US30161N1019;NASDAQ
EBAY;EBAY INC;Equity;0,14;47,66;5 773 971,00;275 187 457,86;275 187 457,86;Consumer Discretionary;2293819;US2786421030;NASDAQ
GIS;GENERAL MILLS INC;Equity;0,14;60,15;4 567 500,00;274 735 125,00;274 735 125,00;Consumer Staples;2367026;US3703341046;New York Stock Exchange Inc.
CNC;CENTENE CORP;Equity;0,14;61,94;4 391 265,00;271 994 954,10;271 994 954,10;Health Care;2807061;US15135B1017;New York Stock Exchange Inc.
DLR;DIGITAL REALTY TRUST REIT INC;Equity;0,14;136,00;1 983 342,00;269 734 512,00;269 734 512,00;Real Estate;B03GQS4;US2538681030;New York Stock Exchange Inc.
EA;ELECTRONIC ARTS INC;Equity;0,14;121,97;2 205 984,00;269 063 868,48;269 063 868,48;Communication;2310194;US2855121099;NASDAQ
ETN;EATON PLC;Equity;0,14;86,01;3 121 539,00;268 483 569,39;268 483 569,39;Industrials;B8KQN82;IE00B8KQN827;New York Stock Exchange Inc.
GM;GENERAL MOTORS;Equity;0,14;27,96;9 500 155,00;265 624 333,80;265 624 333,80;Consumer Discretionary;B665KZ5;US37045V1008;New York Stock Exchange Inc.
SRE;SEMPRA ENERGY;Equity;0,14;124,05;2 128 708,00;264 066 227,40;264 066 227,40;Utilities;2138158;US8168511090;New York Stock Exchange Inc.
GD;GENERAL DYNAMICS CORP;Equity;0,14;149,20;1 769 607,00;264 025 364,40;264 025 364,40;Industrials;2365161;US3695501086;New York Stock Exchange Inc.
PSX;PHILLIPS;Equity;0,14;77,26;3 349 990,00;258 820 227,40;258 820 227,40;Energy;B78C4Y8;US7185461040;New York Stock Exchange Inc.
