12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
MNST;MONSTER BEVERAGE CORP;Equity;0,16;68,30;1 256 970,00;85 851 051,00;85 851 051,00;Consumer Staples;BZ07BW4;US61174X1090;NASDAQ
VRSK;VERISK ANALYTICS INC;Equity;0,16;162,67;524 740,00;85 359 455,80;85 359 455,80;Industrials;B4P9W92;US92345Y1064;NASDAQ
IDXX;IDEXX LABORATORIES INC;Equity;0,16;302,83;279 318,00;84 585 869,94;84 585 869,94;Health Care;2459202;US45168D1046;NASDAQ
SYY;SYSCO CORP;Equity;0,16;54,26;1 552 030,00;84 213 147,80;84 213 147,80;Consumer Staples;2868165;US8718291078;New York Stock Exchange Inc.
CSGP;COSTAR GROUP INC;Equity;0,16;668,09;125 719,00;83 991 606,71;83 991 606,71;Industrials;2262864;US22160N1090;NASDAQ
TWTR;TWITTER INC;Equity;0,16;33,40;2 501 113,00;83 537 174,20;83 537 174,20;Communication;BFLR866;US90184L1026;New York Stock Exchange Inc.
MAR;MARRIOTT INTERNATIONAL INC CLASS A;Equity;0,16;92,26;902 780,00;83 290 482,80;83 290 482,80;Consumer Discretionary;2210614;US5719032022;NASDAQ
CMG;CHIPOTLE MEXICAN GRILL INC;Equity;0,16;991,83;83 664,00;82 980 465,12;82 980 465,12;Consumer Discretionary;B0X7DZ3;US1696561059;New York Stock Exchange Inc.
SCHW;CHARLES SCHWAB CORP;Equity;0,16;36,56;2 265 098,00;82 811 982,88;82 811 982,88;Financials;2779397;US8085131055;New York Stock Exchange Inc.
CDNS;CADENCE DESIGN SYSTEMS INC;Equity;0,16;89,46;915 293,00;81 882 111,78;81 882 111,78;Information Technology;2302232;US1273871087;NASDAQ
